step,train_loss,val_loss
500,2.318823,2.325647
1000,2.014013,1.977507
1500,1.816619,1.737600
2000,1.629575,1.555922
2500,1.420649,1.426175
3000,1.212822,1.313752
3500,1.310338,1.232648
4000,1.186962,1.172884
4500,1.204228,1.122301
5000,1.184030,1.080048
5500,1.046426,1.039399
6000,0.812879,1.023865
6500,0.866031,0.997388
7000,0.885296,0.972043
7500,0.866357,0.949030
8000,0.819175,0.932929
8500,0.834866,0.905577
9000,0.778961,0.878610
9500,0.721691,0.860989
10000,0.722903,0.836163
10500,0.706288,0.815021
11000,0.762399,0.791691
11500,0.574876,0.794320
12000,0.485259,0.785475
12500,0.492824,0.778718
13000,0.490079,0.760113
13500,0.510185,0.740286
14000,0.533200,0.729105
14500,0.484588,0.711623
15000,0.457668,0.698183
15500,0.486458,0.683381
16000,0.426921,0.662924
16500,0.420125,0.643369
17000,0.251584,0.671631
17500,0.248947,0.666186
18000,0.217638,0.656804
